DATAFLOW;AREA_REF;FREQ;INDICADOR;SEXO;TIME_PERIOD;OBS_VALUE;OBS_STATUS;NOTAS_INDICADOR;NOTAS;FUENTE;UNIDAD;MULT;DECIMALS
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;M;2019;970278;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;M;2020;1015911;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;M;2021;1062342;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;M;2022;1109649;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;M;2023;1157713;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;M;2024;1206511;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;M;2025;1256257;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;_T;2019;2260222;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;_T;2020;2358616;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;_T;2021;2458699;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;_T;2022;2560621;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;_T;2023;2664128;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;_T;2024;2769187;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;_T;2025;2876236;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;F;2019;1289944;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;F;2020;1342705;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;F;2021;1396357;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;F;2022;1450972;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;F;2023;1506415;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;F;2024;1562676;;;;Instituto Nacional de Estadísticas;PS;0;0
CL01:DF_NP65MAS_SEXO(1.0);_T;A;NP65MAS;F;2025;1619979;;;;Instituto Nacional de Estadísticas;PS;0;0
