PENSION GARANTIZADA UNIVERSAL (PGU);;;;;;;;;;;;;;;;;;;;;
dic-24;;;;;;;;;;;;;;;;;;;;;
(Número y Monto en miles de $);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Región;Cód. Comuna;Glosa Comuna;Nº Hombre;Monto m$ Hombre;Nº Mujer;Monto m$ Mujer;Total Nº;Total Mto. m$;;;;;;;;;;;;;
15;15101;ARICA;1.810;387.518;4.147;884.611;5.957;1.272.130;8.757;1.826.315;10.035;2.115.999;18.792;3.942.314;10.567;2.213.833;14.182;3.000.610;24.749;5.214.444;
15;15102;CAMARONES;13;2.672;15;3.214;28;5.886;25;5.357;22;4.524;47;9.881;38;8.029;37;7.738;75;15.768;
15;15201;PUTRE;33;7.072;65;13.929;98;21.001;42;8.802;56;12.001;98;20.803;75;15.874;121;25.930;196;41.804;
15;15202;GENERAL LAGOS;15;3.214;34;7.286;49;10.501;10;2.143;10;2.143;20;4.286;25;5.357;44;9.429;69;14.786;
1;1101;IQUIQUE;1.270;271.446;3.088;659.810;4.358;931.256;7.259;1.490.908;8.144;1.710.151;15.403;3.201.059;8.529;1.762.354;11.232;2.369.960;19.761;4.132.315;
1;1107;ALTO HOSPICIO;450;96.273;1.079;230.597;1.529;326.870;2.372;501.335;2.085;443.598;4.457;944.933;2.822;597.608;3.164;674.195;5.986;1.271.803;
1;1401;POZO ALMONTE;130;27.858;261;55.931;391;83.790;501;104.713;363;77.058;864;181.771;631;132.571;624;132.989;1.255;265.561;
1;1402;CAMIÑA;67;14.358;61;13.072;128;27.430;31;6.643;21;4.500;52;11.143;98;21.001;82;17.572;180;38.573;
1;1403;COLCHANE;40;8.572;59;12.643;99;21.215;21;4.500;6;1.286;27;5.786;61;13.072;65;13.929;126;27.001;
1;1404;HUARA;89;19.072;87;18.644;176;37.716;96;19.954;82;17.357;178;37.311;185;39.026;169;36.001;354;75.027;
1;1405;PICA;81;17.174;121;25.930;202;43.104;248;51.334;229;48.133;477;99.467;329;68.508;350;74.063;679;142.572;
2;2101;ANTOFAGASTA;1.539;328.070;5.484;1.172.365;7.023;1.500.435;11.183;2.265.086;13.154;2.754.215;24.337;5.019.301;12.722;2.593.156;18.638;3.926.580;31.360;6.519.736;
2;2102;MEJILLONES;72;15.429;183;39.216;255;54.645;372;77.919;333;70.526;705;148.445;444;93.349;516;109.742;960;203.091;
2;2103;SIERRA GORDA;9;1.929;13;2.786;22;4.715;33;7.072;26;5.348;59;12.419;42;9.000;39;8.133;81;17.134;
2;2104;TALTAL;158;33.598;277;58.961;435;92.559;491;101.886;492;103.992;983;205.878;649;135.484;769;162.953;1.418;298.437;
2;2201;CALAMA;749;159.787;2.579;551.181;3.328;710.968;4.557;881.477;4.475;935.172;9.032;1.816.649;5.306;1.041.264;7.054;1.486.353;12.360;2.527.616;
2;2202;OLLAGUE;8;1.714;6;1.286;14;3.000;4;857;7;1.500;11;2.357;12;2.572;13;2.786;25;5.357;
2;2203;SAN PEDRO DE ATACAMA;64;13.715;157;33.644;221;47.359;172;35.460;196;41.700;368;77.160;236;49.175;353;75.344;589;124.519;
2;2301;TOCOPILLA;221;47.225;593;126.887;814;174.112;999;205.765;1.111;234.123;2.110;439.888;1.220;252.991;1.704;361.010;2.924;614.000;
2;2302;MARIA ELENA;15;3.212;49;10.501;64;13.712;187;37.887;120;25.170;307;63.057;202;41.099;169;35.670;371;76.769;
3;3101;COPIAPO;1.084;230.522;3.117;664.170;4.201;894.692;6.073;1.251.719;6.058;1.269.873;12.131;2.521.592;7.157;1.482.241;9.175;1.934.043;16.332;3.416.285;
3;3102;CALDERA;188;40.277;401;85.424;589;125.702;767;157.887;754;158.381;1.521;316.268;955;198.164;1.155;243.805;2.110;441.969;
3;3103;TIERRA AMARILLA;83;17.715;235;49.971;318;67.686;489;103.660;349;74.400;838;178.059;572;121.375;584;124.371;1.156;245.746;
3;3201;CHAÑARAL;167;35.764;417;89.361;584;125.126;556;116.045;536;113.448;1.092;229.493;723;151.809;953;202.809;1.676;354.618;
3;3202;DIEGO DE ALMAGRO;90;19.107;257;55.074;347;74.181;403;82.707;331;69.500;734;152.207;493;101.814;588;124.574;1.081;226.388;
3;3301;VALLENAR;531;113.187;1.621;347.087;2.152;460.274;2.715;556.096;2.703;570.108;5.418;1.126.204;3.246;669.283;4.324;917.194;7.570;1.586.477;
3;3302;ALTO DEL CARMEN;168;36.002;184;39.430;352;75.432;269;55.840;214;45.340;483;101.180;437;91.842;398;84.770;835;176.612;
3;3303;FREIRINA;110;23.549;201;43.073;311;66.623;325;66.658;301;63.063;626;129.722;435;90.208;502;106.137;937;196.345;
3;3304;HUASCO;129;27.531;351;74.866;480;102.397;514;103.200;445;94.030;959;197.230;643;130.731;796;168.896;1.439;299.626;
4;4101;LA SERENA;1.575;336.893;5.036;1.075.562;6.611;1.412.455;9.223;1.866.756;10.938;2.290.165;20.161;4.156.921;10.798;2.203.648;15.974;3.365.728;26.772;5.569.376;
4;4102;COQUIMBO;2.111;451.125;5.473;1.170.241;7.584;1.621.366;9.811;2.020.151;10.809;2.275.830;20.620;4.295.981;11.922;2.471.276;16.282;3.446.071;28.204;5.917.347;
4;4103;ANDACOLLO;161;34.407;396;84.691;557;119.098;528;111.683;557;119.094;1.085;230.777;689;146.090;953;203.785;1.642;349.875;
4;4104;LA HIGUERA;149;31.930;131;27.864;280;59.794;205;42.950;167;35.564;372;78.514;354;74.880;298;63.428;652;138.308;
4;4105;PAIHUANO;62;13.286;121;25.930;183;39.216;273;57.658;225;48.050;498;105.708;335;70.944;346;73.980;681;144.924;
4;4106;VICUÑA;324;69.281;707;151.126;1.031;220.407;1.473;308.869;1.341;283.580;2.814;592.449;1.797;378.150;2.048;434.706;3.845;812.856;
4;4201;ILLAPEL;524;112.084;1.140;242.470;1.664;354.554;1.522;319.765;1.699;359.530;3.221;679.295;2.046;431.849;2.839;602.000;4.885;1.033.849;
4;4202;CANELA;466;99.862;658;140.798;1.124;240.660;414;86.505;350;74.421;764;160.926;880;186.367;1.008;215.219;1.888;401.586;
4;4203;LOS VILOS;547;117.185;744;158.925;1.291;276.110;902;187.342;1.070;225.223;1.972;412.565;1.449;304.527;1.814;384.148;3.263;688.675;
4;4204;SALAMANCA;558;119.439;867;185.604;1.425;305.043;1.384;289.977;1.316;278.677;2.700;568.654;1.942;409.416;2.183;464.281;4.125;873.697;
