DateKey,Date,Year,Quarter,QuarterLabel,Month,MonthName,MonthShort,Day,DayOfWeek,DayName,WeekNumber,IsWeekend,YearMonth
20220101,2022-01-01,2022,1,Q1,1,January,Jan,1,5,Saturday,52,1,2022-01
20220102,2022-01-02,2022,1,Q1,1,January,Jan,2,6,Sunday,52,1,2022-01
20220103,2022-01-03,2022,1,Q1,1,January,Jan,3,0,Monday,1,0,2022-01
20220104,2022-01-04,2022,1,Q1,1,January,Jan,4,1,Tuesday,1,0,2022-01
20220105,2022-01-05,2022,1,Q1,1,January,Jan,5,2,Wednesday,1,0,2022-01
20220106,2022-01-06,2022,1,Q1,1,January,Jan,6,3,Thursday,1,0,2022-01
20220107,2022-01-07,2022,1,Q1,1,January,Jan,7,4,Friday,1,0,2022-01
20220108,2022-01-08,2022,1,Q1,1,January,Jan,8,5,Saturday,1,1,2022-01
20220109,2022-01-09,2022,1,Q1,1,January,Jan,9,6,Sunday,1,1,2022-01
20220110,2022-01-10,2022,1,Q1,1,January,Jan,10,0,Monday,2,0,2022-01
20220111,2022-01-11,2022,1,Q1,1,January,Jan,11,1,Tuesday,2,0,2022-01
20220112,2022-01-12,2022,1,Q1,1,January,Jan,12,2,Wednesday,2,0,2022-01
20220113,2022-01-13,2022,1,Q1,1,January,Jan,13,3,Thursday,2,0,2022-01
20220114,2022-01-14,2022,1,Q1,1,January,Jan,14,4,Friday,2,0,2022-01
20220115,2022-01-15,2022,1,Q1,1,January,Jan,15,5,Saturday,2,1,2022-01
20220116,2022-01-16,2022,1,Q1,1,January,Jan,16,6,Sunday,2,1,2022-01
20220117,2022-01-17,2022,1,Q1,1,January,Jan,17,0,Monday,3,0,2022-01
20220118,2022-01-18,2022,1,Q1,1,January,Jan,18,1,Tuesday,3,0,2022-01
20220119,2022-01-19,2022,1,Q1,1,January,Jan,19,2,Wednesday,3,0,2022-01
20220120,2022-01-20,2022,1,Q1,1,January,Jan,20,3,Thursday,3,0,2022-01
20220121,2022-01-21,2022,1,Q1,1,January,Jan,21,4,Friday,3,0,2022-01
20220122,2022-01-22,2022,1,Q1,1,January,Jan,22,5,Saturday,3,1,2022-01
20220123,2022-01-23,2022,1,Q1,1,January,Jan,23,6,Sunday,3,1,2022-01
20220124,2022-01-24,2022,1,Q1,1,January,Jan,24,0,Monday,4,0,2022-01
20220125,2022-01-25,2022,1,Q1,1,January,Jan,25,1,Tuesday,4,0,2022-01
20220126,2022-01-26,2022,1,Q1,1,January,Jan,26,2,Wednesday,4,0,2022-01
20220127,2022-01-27,2022,1,Q1,1,January,Jan,27,3,Thursday,4,0,2022-01
20220128,2022-01-28,2022,1,Q1,1,January,Jan,28,4,Friday,4,0,2022-01
20220129,2022-01-29,2022,1,Q1,1,January,Jan,29,5,Saturday,4,1,2022-01
20220130,2022-01-30,2022,1,Q1,1,January,Jan,30,6,Sunday,4,1,2022-01
20220131,2022-01-31,2022,1,Q1,1,January,Jan,31,0,Monday,5,0,2022-01
20220201,2022-02-01,2022,1,Q1,2,February,Feb,1,1,Tuesday,5,0,2022-02
20220202,2022-02-02,2022,1,Q1,2,February,Feb,2,2,Wednesday,5,0,2022-02
20220203,2022-02-03,2022,1,Q1,2,February,Feb,3,3,Thursday,5,0,2022-02
20220204,2022-02-04,2022,1,Q1,2,February,Feb,4,4,Friday,5,0,2022-02
20220205,2022-02-05,2022,1,Q1,2,February,Feb,5,5,Saturday,5,1,2022-02
20220206,2022-02-06,2022,1,Q1,2,February,Feb,6,6,Sunday,5,1,2022-02
20220207,2022-02-07,2022,1,Q1,2,February,Feb,7,0,Monday,6,0,2022-02
20220208,2022-02-08,2022,1,Q1,2,February,Feb,8,1,Tuesday,6,0,2022-02
20220209,2022-02-09,2022,1,Q1,2,February,Feb,9,2,Wednesday,6,0,2022-02
20220210,2022-02-10,2022,1,Q1,2,February,Feb,10,3,Thursday,6,0,2022-02
20220211,2022-02-11,2022,1,Q1,2,February,Feb,11,4,Friday,6,0,2022-02
20220212,2022-02-12,2022,1,Q1,2,February,Feb,12,5,Saturday,6,1,2022-02
20220213,2022-02-13,2022,1,Q1,2,February,Feb,13,6,Sunday,6,1,2022-02
20220214,2022-02-14,2022,1,Q1,2,February,Feb,14,0,Monday,7,0,2022-02
20220215,2022-02-15,2022,1,Q1,2,February,Feb,15,1,Tuesday,7,0,2022-02
20220216,2022-02-16,2022,1,Q1,2,February,Feb,16,2,Wednesday,7,0,2022-02
20220217,2022-02-17,2022,1,Q1,2,February,Feb,17,3,Thursday,7,0,2022-02
20220218,2022-02-18,2022,1,Q1,2,February,Feb,18,4,Friday,7,0,2022-02
20220219,2022-02-19,2022,1,Q1,2,February,Feb,19,5,Saturday,7,1,2022-02
20220220,2022-02-20,2022,1,Q1,2,February,Feb,20,6,Sunday,7,1,2022-02
20220221,2022-02-21,2022,1,Q1,2,February,Feb,21,0,Monday,8,0,2022-02
20220222,2022-02-22,2022,1,Q1,2,February,Feb,22,1,Tuesday,8,0,2022-02
20220223,2022-02-23,2022,1,Q1,2,February,Feb,23,2,Wednesday,8,0,2022-02
20220224,2022-02-24,2022,1,Q1,2,February,Feb,24,3,Thursday,8,0,2022-02
20220225,2022-02-25,2022,1,Q1,2,February,Feb,25,4,Friday,8,0,2022-02
20220226,2022-02-26,2022,1,Q1,2,February,Feb,26,5,Saturday,8,1,2022-02
20220227,2022-02-27,2022,1,Q1,2,February,Feb,27,6,Sunday,8,1,2022-02
20220228,2022-02-28,2022,1,Q1,2,February,Feb,28,0,Monday,9,0,2022-02
20220301,2022-03-01,2022,1,Q1,3,March,Mar,1,1,Tuesday,9,0,2022-03
20220302,2022-03-02,2022,1,Q1,3,March,Mar,2,2,Wednesday,9,0,2022-03
20220303,2022-03-03,2022,1,Q1,3,March,Mar,3,3,Thursday,9,0,2022-03
20220304,2022-03-04,2022,1,Q1,3,March,Mar,4,4,Friday,9,0,2022-03
20220305,2022-03-05,2022,1,Q1,3,March,Mar,5,5,Saturday,9,1,2022-03
20220306,2022-03-06,2022,1,Q1,3,March,Mar,6,6,Sunday,9,1,2022-03
20220307,2022-03-07,2022,1,Q1,3,March,Mar,7,0,Monday,10,0,2022-03
20220308,2022-03-08,2022,1,Q1,3,March,Mar,8,1,Tuesday,10,0,2022-03
20220309,2022-03-09,2022,1,Q1,3,March,Mar,9,2,Wednesday,10,0,2022-03
20220310,2022-03-10,2022,1,Q1,3,March,Mar,10,3,Thursday,10,0,2022-03
20220311,2022-03-11,2022,1,Q1,3,March,Mar,11,4,Friday,10,0,2022-03
20220312,2022-03-12,2022,1,Q1,3,March,Mar,12,5,Saturday,10,1,2022-03
20220313,2022-03-13,2022,1,Q1,3,March,Mar,13,6,Sunday,10,1,2022-03
20220314,2022-03-14,2022,1,Q1,3,March,Mar,14,0,Monday,11,0,2022-03
20220315,2022-03-15,2022,1,Q1,3,March,Mar,15,1,Tuesday,11,0,2022-03
20220316,2022-03-16,2022,1,Q1,3,March,Mar,16,2,Wednesday,11,0,2022-03
20220317,2022-03-17,2022,1,Q1,3,March,Mar,17,3,Thursday,11,0,2022-03
20220318,2022-03-18,2022,1,Q1,3,March,Mar,18,4,Friday,11,0,2022-03
20220319,2022-03-19,2022,1,Q1,3,March,Mar,19,5,Saturday,11,1,2022-03
20220320,2022-03-20,2022,1,Q1,3,March,Mar,20,6,Sunday,11,1,2022-03
20220321,2022-03-21,2022,1,Q1,3,March,Mar,21,0,Monday,12,0,2022-03
20220322,2022-03-22,2022,1,Q1,3,March,Mar,22,1,Tuesday,12,0,2022-03
20220323,2022-03-23,2022,1,Q1,3,March,Mar,23,2,Wednesday,12,0,2022-03
20220324,2022-03-24,2022,1,Q1,3,March,Mar,24,3,Thursday,12,0,2022-03
20220325,2022-03-25,2022,1,Q1,3,March,Mar,25,4,Friday,12,0,2022-03
20220326,2022-03-26,2022,1,Q1,3,March,Mar,26,5,Saturday,12,1,2022-03
20220327,2022-03-27,2022,1,Q1,3,March,Mar,27,6,Sunday,12,1,2022-03
20220328,2022-03-28,2022,1,Q1,3,March,Mar,28,0,Monday,13,0,2022-03
20220329,2022-03-29,2022,1,Q1,3,March,Mar,29,1,Tuesday,13,0,2022-03
20220330,2022-03-30,2022,1,Q1,3,March,Mar,30,2,Wednesday,13,0,2022-03
20220331,2022-03-31,2022,1,Q1,3,March,Mar,31,3,Thursday,13,0,2022-03
20220401,2022-04-01,2022,2,Q2,4,April,Apr,1,4,Friday,13,0,2022-04
20220402,2022-04-02,2022,2,Q2,4,April,Apr,2,5,Saturday,13,1,2022-04
20220403,2022-04-03,2022,2,Q2,4,April,Apr,3,6,Sunday,13,1,2022-04
20220404,2022-04-04,2022,2,Q2,4,April,Apr,4,0,Monday,14,0,2022-04
20220405,2022-04-05,2022,2,Q2,4,April,Apr,5,1,Tuesday,14,0,2022-04
20220406,2022-04-06,2022,2,Q2,4,April,Apr,6,2,Wednesday,14,0,2022-04
20220407,2022-04-07,2022,2,Q2,4,April,Apr,7,3,Thursday,14,0,2022-04
20220408,2022-04-08,2022,2,Q2,4,April,Apr,8,4,Friday,14,0,2022-04
20220409,2022-04-09,2022,2,Q2,4,April,Apr,9,5,Saturday,14,1,2022-04
20220410,2022-04-10,2022,2,Q2,4,April,Apr,10,6,Sunday,14,1,2022-04
20220411,2022-04-11,2022,2,Q2,4,April,Apr,11,0,Monday,15,0,2022-04
20220412,2022-04-12,2022,2,Q2,4,April,Apr,12,1,Tuesday,15,0,2022-04
20220413,2022-04-13,2022,2,Q2,4,April,Apr,13,2,Wednesday,15,0,2022-04
20220414,2022-04-14,2022,2,Q2,4,April,Apr,14,3,Thursday,15,0,2022-04
20220415,2022-04-15,2022,2,Q2,4,April,Apr,15,4,Friday,15,0,2022-04
20220416,2022-04-16,2022,2,Q2,4,April,Apr,16,5,Saturday,15,1,2022-04
20220417,2022-04-17,2022,2,Q2,4,April,Apr,17,6,Sunday,15,1,2022-04
