OrderID,OrderLineID,DateKey,CustomerKey,ProductKey,StoreKey,Quantity,UnitPrice,UnitCost,DiscountPct,GrossAmount,DiscountAmount,NetAmount,TotalCost
10001,10001-21,20220101,25,21,4,1,79,43.68,0.0,79,0.0,79.0,43.68
10002,10002-2,20220101,200,2,1,2,999,637.04,0.0,1998,0.0,1998.0,1274.08
10002,10002-11,20220101,200,11,1,5,449,181.91,0.0,2245,0.0,2245.0,909.55
10002,10002-17,20220101,200,17,1,6,45,21.42,0.0,270,0.0,270.0,128.52
10003,10003-3,20220101,97,3,2,2,1099,640.72,0.0,2198,0.0,2198.0,1281.44
10004,10004-6,20220101,5,6,2,6,1199,526.36,0.0,7194,0.0,7194.0,3158.16
10004,10004-9,20220101,5,9,2,6,89,48.97,0.0,534,0.0,534.0,293.82
10005,10005-20,20220101,25,20,1,1,59,27.9,0.1,59,5.9,53.1,27.9
10006,10006-12,20220101,196,12,4,4,79,50.76,0.0,316,0.0,316.0,203.04
10006,10006-4,20220101,196,4,4,4,799,439.18,0.2,3196,639.2,2556.8,1756.72
10006,10006-19,20220101,196,19,4,5,199,101.09,0.15,995,149.25,845.75,505.45
10007,10007-21,20220101,99,21,4,1,79,43.68,0.2,79,15.8,63.2,43.68
10007,10007-7,20220101,99,7,4,6,29,12.02,0.0,174,0.0,174.0,72.12
10007,10007-13,20220101,99,13,4,4,12,7.3,0.0,48,0.0,48.0,29.2
10007,10007-1,20220101,99,1,4,2,1299,641.23,0.0,2598,0.0,2598.0,1282.46
10008,10008-18,20220101,154,18,1,6,99,52.59,0.0,594,0.0,594.0,315.54
10009,10009-12,20220101,86,12,4,5,79,50.76,0.0,395,0.0,395.0,253.8
10009,10009-4,20220101,86,4,4,3,799,439.18,0.0,2397,0.0,2397.0,1317.54
10009,10009-16,20220101,86,16,4,1,120,53.5,0.0,120,0.0,120.0,53.5
10009,10009-7,20220101,86,7,4,5,29,12.02,0.0,145,0.0,145.0,60.1
10010,10010-9,20220101,30,9,3,7,89,48.97,0.05,623,31.15,591.85,342.79
10010,10010-19,20220101,30,19,3,7,199,101.09,0.0,1393,0.0,1393.0,707.63
10011,10011-21,20220101,31,21,1,6,79,43.68,0.0,474,0.0,474.0,262.08
10011,10011-13,20220101,31,13,1,7,12,7.3,0.0,84,0.0,84.0,51.1
10012,10012-15,20220102,25,15,1,5,8,3.56,0.0,40,0.0,40.0,17.8
10012,10012-20,20220102,25,20,1,3,59,27.9,0.0,177,0.0,177.0,83.7
10012,10012-9,20220102,25,9,1,3,89,48.97,0.15,267,40.05,226.95,146.91
10013,10013-14,20220102,92,14,1,2,35,15.86,0.0,70,0.0,70.0,31.72
10013,10013-6,20220102,92,6,1,1,1199,526.36,0.0,1199,0.0,1199.0,526.36
10014,10014-8,20220102,71,8,1,2,49,30.21,0.0,98,0.0,98.0,60.42
10015,10015-13,20220102,116,13,1,6,12,7.3,0.0,72,0.0,72.0,43.8
10015,10015-20,20220102,116,20,1,2,59,27.9,0.0,118,0.0,118.0,55.8
10015,10015-2,20220102,116,2,1,7,999,637.04,0.0,6993,0.0,6993.0,4459.28
10015,10015-7,20220102,116,7,1,1,29,12.02,0.0,29,0.0,29.0,12.02
10016,10016-21,20220103,114,21,1,1,79,43.68,0.0,79,0.0,79.0,43.68
10017,10017-13,20220103,58,13,5,6,12,7.3,0.0,72,0.0,72.0,43.8
10017,10017-8,20220103,58,8,5,3,49,30.21,0.0,147,0.0,147.0,90.63
10018,10018-16,20220104,140,16,4,3,120,53.5,0.05,360,18.0,342.0,160.5
10019,10019-10,20220104,196,10,1,6,599,345.63,0.05,3594,179.7,3414.3,2073.78
10020,10020-15,20220104,200,15,3,3,8,3.56,0.0,24,0.0,24.0,10.68
