indicador,fecha,valor,region
Tasa de actividad femenina (% mujeres 15-64),2010,46.86,_T
Tasa de actividad femenina (% mujeres 15-64),2011,48.91,_T
Tasa de actividad femenina (% mujeres 15-64),2012,49.18,_T
Tasa de actividad femenina (% mujeres 15-64),2013,49.66,_T
Tasa de actividad femenina (% mujeres 15-64),2014,50.29,_T
Tasa de actividad femenina (% mujeres 15-64),2015,50.35,_T
Tasa de actividad femenina (% mujeres 15-64),2016,50.76,_T
Tasa de actividad femenina (% mujeres 15-64),2017,51.74,_T
Tasa de actividad femenina (% mujeres 15-64),2018,52.42,_T
Tasa de actividad femenina (% mujeres 15-64),2019,52.65,_T
Tasa de actividad femenina (% mujeres 15-64),2020,45.44,_T
Tasa de actividad femenina (% mujeres 15-64),2021,46.58,_T
Tasa de actividad femenina (% mujeres 15-64),2022,50.02,_T
Tasa de actividad femenina (% mujeres 15-64),2023,51.96,_T
Tasa de actividad femenina (% mujeres 15-64),2024,52.78,_T
