indicador,fecha,valor,region
Tasa de actividad masculina (% hombres 15-64),2010,74.23,_T
Tasa de actividad masculina (% hombres 15-64),2011,74.84,_T
Tasa de actividad masculina (% hombres 15-64),2012,74.51,_T
Tasa de actividad masculina (% hombres 15-64),2013,74.26,_T
Tasa de actividad masculina (% hombres 15-64),2014,74.23,_T
Tasa de actividad masculina (% hombres 15-64),2015,74.45,_T
Tasa de actividad masculina (% hombres 15-64),2016,74.16,_T
Tasa de actividad masculina (% hombres 15-64),2017,74.42,_T
Tasa de actividad masculina (% hombres 15-64),2018,74.24,_T
Tasa de actividad masculina (% hombres 15-64),2019,73.72,_T
Tasa de actividad masculina (% hombres 15-64),2020,67.52,_T
Tasa de actividad masculina (% hombres 15-64),2021,68.77,_T
Tasa de actividad masculina (% hombres 15-64),2022,70.48,_T
Tasa de actividad masculina (% hombres 15-64),2023,71.3,_T
Tasa de actividad masculina (% hombres 15-64),2024,72.02,_T
