indicador,fecha,valor,region
Tasa de desempleo (% fuerza de trabajo),2010,8.55,_T
Tasa de desempleo (% fuerza de trabajo),2011,7.49,_T
Tasa de desempleo (% fuerza de trabajo),2012,6.79,_T
Tasa de desempleo (% fuerza de trabajo),2013,6.36,_T
Tasa de desempleo (% fuerza de trabajo),2014,6.76,_T
Tasa de desempleo (% fuerza de trabajo),2015,6.61,_T
Tasa de desempleo (% fuerza de trabajo),2016,6.93,_T
Tasa de desempleo (% fuerza de trabajo),2017,7.26,_T
Tasa de desempleo (% fuerza de trabajo),2018,7.62,_T
Tasa de desempleo (% fuerza de trabajo),2019,7.49,_T
Tasa de desempleo (% fuerza de trabajo),2020,10.93,_T
Tasa de desempleo (% fuerza de trabajo),2021,9.28,_T
Tasa de desempleo (% fuerza de trabajo),2022,8.25,_T
Tasa de desempleo (% fuerza de trabajo),2023,9.01,_T
Tasa de desempleo (% fuerza de trabajo),2024,8.72,_T
