indicador,fecha,valor,region
Tasa de participación laboral (% pop. 15-64),2010,66.3,_T
Tasa de participación laboral (% pop. 15-64),2011,67.64,_T
Tasa de participación laboral (% pop. 15-64),2012,67.77,_T
Tasa de participación laboral (% pop. 15-64),2013,67.96,_T
Tasa de participación laboral (% pop. 15-64),2014,68.35,_T
Tasa de participación laboral (% pop. 15-64),2015,68.53,_T
Tasa de participación laboral (% pop. 15-64),2016,68.59,_T
Tasa de participación laboral (% pop. 15-64),2017,69.43,_T
Tasa de participación laboral (% pop. 15-64),2018,69.9,_T
Tasa de participación laboral (% pop. 15-64),2019,69.79,_T
Tasa de participación laboral (% pop. 15-64),2020,63.25,_T
Tasa de participación laboral (% pop. 15-64),2021,64.9,_T
Tasa de participación laboral (% pop. 15-64),2022,67.9,_T
Tasa de participación laboral (% pop. 15-64),2023,69.5,_T
Tasa de participación laboral (% pop. 15-64),2024,70.63,_T
