indicador,fecha,valor,region
Expectativa de vida al nacer (años),2000,77.13,_T
Expectativa de vida al nacer (años),2001,77.58,_T
Expectativa de vida al nacer (años),2002,77.84,_T
Expectativa de vida al nacer (años),2003,77.88,_T
Expectativa de vida al nacer (años),2004,78.28,_T
Expectativa de vida al nacer (años),2005,78.46,_T
Expectativa de vida al nacer (años),2006,78.53,_T
Expectativa de vida al nacer (años),2007,78.65,_T
Expectativa de vida al nacer (años),2008,78.75,_T
Expectativa de vida al nacer (años),2009,78.89,_T
Expectativa de vida al nacer (años),2010,79.09,_T
Expectativa de vida al nacer (años),2011,79.24,_T
Expectativa de vida al nacer (años),2012,79.22,_T
Expectativa de vida al nacer (años),2013,79.55,_T
Expectativa de vida al nacer (años),2014,79.71,_T
Expectativa de vida al nacer (años),2015,80.01,_T
Expectativa de vida al nacer (años),2016,80.3,_T
Expectativa de vida al nacer (años),2017,80.61,_T
Expectativa de vida al nacer (años),2018,80.56,_T
Expectativa de vida al nacer (años),2019,80.32,_T
Expectativa de vida al nacer (años),2020,79.35,_T
Expectativa de vida al nacer (años),2021,78.88,_T
Expectativa de vida al nacer (años),2022,79.18,_T
Expectativa de vida al nacer (años),2023,81.17,_T
PIB per cápita (USD constantes 2015),2000,8465.35,_T
PIB per cápita (USD constantes 2015),2001,8632.01,_T
PIB per cápita (USD constantes 2015),2002,8810.69,_T
PIB per cápita (USD constantes 2015),2003,9130.78,_T
PIB per cápita (USD constantes 2015),2004,9642.37,_T
PIB per cápita (USD constantes 2015),2005,10104.42,_T
PIB per cápita (USD constantes 2015),2006,10611.61,_T
PIB per cápita (USD constantes 2015),2007,11051.35,_T
PIB per cápita (USD constantes 2015),2008,11356.09,_T
PIB per cápita (USD constantes 2015),2009,11116.41,_T
PIB per cápita (USD constantes 2015),2010,11649.29,_T
PIB per cápita (USD constantes 2015),2011,12252.84,_T
PIB per cápita (USD constantes 2015),2012,12882.83,_T
PIB per cápita (USD constantes 2015),2013,13182.73,_T
PIB per cápita (USD constantes 2015),2014,13285.95,_T
PIB per cápita (USD constantes 2015),2015,13433.92,_T
PIB per cápita (USD constantes 2015),2016,13505.1,_T
PIB per cápita (USD constantes 2015),2017,13473.35,_T
PIB per cápita (USD constantes 2015),2018,13763.01,_T
PIB per cápita (USD constantes 2015),2019,13630.59,_T
PIB per cápita (USD constantes 2015),2020,12679.02,_T
PIB per cápita (USD constantes 2015),2021,14051.47,_T
PIB per cápita (USD constantes 2015),2022,14283.15,_T
PIB per cápita (USD constantes 2015),2023,14280.35,_T
PIB per cápita (USD constantes 2015),2024,14579.4,_T
Población total,2000,15503635.0,_T
Población total,2001,15683849.0,_T
Población total,2002,15857925.0,_T
Población total,2003,16024752.0,_T
Población total,2004,16187322.0,_T
Población total,2005,16348778.0,_T
Población total,2006,16509195.0,_T
Población total,2007,16671581.0,_T
Población total,2008,16838988.0,_T
Población total,2009,17009731.0,_T
Población total,2010,17181464.0,_T
Población total,2011,17351816.0,_T
Población total,2012,17519119.0,_T
Población total,2013,17687006.0,_T
Población total,2014,17864195.0,_T
Población total,2015,18047625.0,_T
Población total,2016,18267221.0,_T
Población total,2017,18558868.0,_T
Población total,2018,18893191.0,_T
Población total,2019,19197744.0,_T
Población total,2020,19370624.0,_T
Población total,2021,19456334.0,_T
Población total,2022,19553036.0,_T
Población total,2023,19658835.0,_T
Población total,2024,19764771.0,_T
Población urbana (% del total),2000,86.27,_T
Población urbana (% del total),2001,86.49,_T
Población urbana (% del total),2002,86.61,_T
Población urbana (% del total),2003,86.68,_T
Población urbana (% del total),2004,86.73,_T
Población urbana (% del total),2005,86.78,_T
Población urbana (% del total),2006,86.81,_T
Población urbana (% del total),2007,86.84,_T
Población urbana (% del total),2008,86.88,_T
Población urbana (% del total),2009,86.91,_T
Población urbana (% del total),2010,86.96,_T
Población urbana (% del total),2011,87.01,_T
Población urbana (% del total),2012,87.08,_T
Población urbana (% del total),2013,87.18,_T
Población urbana (% del total),2014,87.31,_T
Población urbana (% del total),2015,87.47,_T
Población urbana (% del total),2016,87.63,_T
Población urbana (% del total),2017,87.8,_T
Población urbana (% del total),2018,87.96,_T
Población urbana (% del total),2019,88.13,_T
Población urbana (% del total),2020,88.3,_T
Población urbana (% del total),2021,88.47,_T
Población urbana (% del total),2022,88.64,_T
Población urbana (% del total),2023,88.82,_T
Población urbana (% del total),2024,89.0,_T
Tasa de actividad femenina (% mujeres 15-64),2000,37.7,_T
Tasa de actividad femenina (% mujeres 15-64),2001,36.73,_T
Tasa de actividad femenina (% mujeres 15-64),2002,36.45,_T
Tasa de actividad femenina (% mujeres 15-64),2003,37.8,_T
Tasa de actividad femenina (% mujeres 15-64),2004,39.21,_T
Tasa de actividad femenina (% mujeres 15-64),2005,40.13,_T
Tasa de actividad femenina (% mujeres 15-64),2006,41.29,_T
Tasa de actividad femenina (% mujeres 15-64),2007,42.23,_T
Tasa de actividad femenina (% mujeres 15-64),2008,44.18,_T
Tasa de actividad femenina (% mujeres 15-64),2009,44.62,_T
Tasa de actividad femenina (% mujeres 15-64),2010,46.86,_T
Tasa de actividad femenina (% mujeres 15-64),2011,48.91,_T
Tasa de actividad femenina (% mujeres 15-64),2012,49.18,_T
Tasa de actividad femenina (% mujeres 15-64),2013,49.66,_T
Tasa de actividad femenina (% mujeres 15-64),2014,50.29,_T
Tasa de actividad femenina (% mujeres 15-64),2015,50.35,_T
Tasa de actividad femenina (% mujeres 15-64),2016,50.76,_T
Tasa de actividad femenina (% mujeres 15-64),2017,51.74,_T
Tasa de actividad femenina (% mujeres 15-64),2018,52.42,_T
Tasa de actividad femenina (% mujeres 15-64),2019,52.65,_T
Tasa de actividad femenina (% mujeres 15-64),2020,45.44,_T
Tasa de actividad femenina (% mujeres 15-64),2021,46.58,_T
Tasa de actividad femenina (% mujeres 15-64),2022,50.02,_T
Tasa de actividad femenina (% mujeres 15-64),2023,51.96,_T
Tasa de actividad femenina (% mujeres 15-64),2024,52.78,_T
Tasa de actividad masculina (% hombres 15-64),2000,74.66,_T
Tasa de actividad masculina (% hombres 15-64),2001,73.85,_T
Tasa de actividad masculina (% hombres 15-64),2002,73.11,_T
Tasa de actividad masculina (% hombres 15-64),2003,72.77,_T
Tasa de actividad masculina (% hombres 15-64),2004,72.05,_T
Tasa de actividad masculina (% hombres 15-64),2005,71.78,_T
Tasa de actividad masculina (% hombres 15-64),2006,72.9,_T
Tasa de actividad masculina (% hombres 15-64),2007,72.88,_T
Tasa de actividad masculina (% hombres 15-64),2008,73.3,_T
Tasa de actividad masculina (% hombres 15-64),2009,72.44,_T
Tasa de actividad masculina (% hombres 15-64),2010,74.23,_T
Tasa de actividad masculina (% hombres 15-64),2011,74.84,_T
Tasa de actividad masculina (% hombres 15-64),2012,74.51,_T
Tasa de actividad masculina (% hombres 15-64),2013,74.26,_T
Tasa de actividad masculina (% hombres 15-64),2014,74.23,_T
Tasa de actividad masculina (% hombres 15-64),2015,74.45,_T
Tasa de actividad masculina (% hombres 15-64),2016,74.16,_T
Tasa de actividad masculina (% hombres 15-64),2017,74.42,_T
Tasa de actividad masculina (% hombres 15-64),2018,74.24,_T
Tasa de actividad masculina (% hombres 15-64),2019,73.72,_T
Tasa de actividad masculina (% hombres 15-64),2020,67.52,_T
Tasa de actividad masculina (% hombres 15-64),2021,68.77,_T
Tasa de actividad masculina (% hombres 15-64),2022,70.48,_T
Tasa de actividad masculina (% hombres 15-64),2023,71.3,_T
Tasa de actividad masculina (% hombres 15-64),2024,72.02,_T
Tasa de alfabetización adultos (% 15+),2002,95.72,_T
Tasa de alfabetización adultos (% 15+),2011,96.7,_T
Tasa de alfabetización adultos (% 15+),2013,96.27,_T
Tasa de alfabetización adultos (% 15+),2015,96.87,_T
Tasa de alfabetización adultos (% 15+),2017,96.4,_T
Tasa de desempleo (% fuerza de trabajo),2000,10.49,_T
Tasa de desempleo (% fuerza de trabajo),2001,10.39,_T
Tasa de desempleo (% fuerza de trabajo),2002,10.17,_T
Tasa de desempleo (% fuerza de trabajo),2003,9.77,_T
Tasa de desempleo (% fuerza de trabajo),2004,10.16,_T
Tasa de desempleo (% fuerza de trabajo),2005,9.34,_T
Tasa de desempleo (% fuerza de trabajo),2006,9.02,_T
Tasa de desempleo (% fuerza de trabajo),2007,8.43,_T
Tasa de desempleo (% fuerza de trabajo),2008,9.29,_T
Tasa de desempleo (% fuerza de trabajo),2009,11.31,_T
Tasa de desempleo (% fuerza de trabajo),2010,8.55,_T
Tasa de desempleo (% fuerza de trabajo),2011,7.49,_T
Tasa de desempleo (% fuerza de trabajo),2012,6.79,_T
Tasa de desempleo (% fuerza de trabajo),2013,6.36,_T
Tasa de desempleo (% fuerza de trabajo),2014,6.76,_T
Tasa de desempleo (% fuerza de trabajo),2015,6.61,_T
Tasa de desempleo (% fuerza de trabajo),2016,6.93,_T
Tasa de desempleo (% fuerza de trabajo),2017,7.26,_T
Tasa de desempleo (% fuerza de trabajo),2018,7.62,_T
Tasa de desempleo (% fuerza de trabajo),2019,7.49,_T
Tasa de desempleo (% fuerza de trabajo),2020,10.93,_T
Tasa de desempleo (% fuerza de trabajo),2021,9.28,_T
Tasa de desempleo (% fuerza de trabajo),2022,8.25,_T
Tasa de desempleo (% fuerza de trabajo),2023,9.01,_T
Tasa de desempleo (% fuerza de trabajo),2024,8.72,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2000,24.75,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2001,24.56,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2002,24.98,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2003,24.73,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2004,24.52,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2005,23.41,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2006,22.11,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2007,21.64,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2008,23.76,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2009,26.74,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2010,19.06,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2011,18.0,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2012,16.93,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2013,16.68,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2014,16.98,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2015,15.81,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2016,15.8,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2017,17.73,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2018,18.14,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2019,18.95,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2020,24.38,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2021,20.48,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2022,18.29,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2023,21.97,_T
Tasa de desempleo juvenil 15-24 (% fuerza de trabajo 15-24),2024,20.99,_T
Tasa de participación laboral (% pop. 15-64),2000,60.78,_T
Tasa de participación laboral (% pop. 15-64),2001,59.98,_T
Tasa de participación laboral (% pop. 15-64),2002,59.56,_T
Tasa de participación laboral (% pop. 15-64),2003,60.12,_T
Tasa de participación laboral (% pop. 15-64),2004,60.59,_T
Tasa de participación laboral (% pop. 15-64),2005,60.91,_T
Tasa de participación laboral (% pop. 15-64),2006,62.14,_T
Tasa de participación laboral (% pop. 15-64),2007,62.71,_T
Tasa de participación laboral (% pop. 15-64),2008,64.12,_T
Tasa de participación laboral (% pop. 15-64),2009,64.01,_T
Tasa de participación laboral (% pop. 15-64),2010,66.3,_T
Tasa de participación laboral (% pop. 15-64),2011,67.64,_T
Tasa de participación laboral (% pop. 15-64),2012,67.77,_T
Tasa de participación laboral (% pop. 15-64),2013,67.96,_T
Tasa de participación laboral (% pop. 15-64),2014,68.35,_T
Tasa de participación laboral (% pop. 15-64),2015,68.53,_T
Tasa de participación laboral (% pop. 15-64),2016,68.59,_T
Tasa de participación laboral (% pop. 15-64),2017,69.43,_T
Tasa de participación laboral (% pop. 15-64),2018,69.9,_T
Tasa de participación laboral (% pop. 15-64),2019,69.79,_T
Tasa de participación laboral (% pop. 15-64),2020,63.25,_T
Tasa de participación laboral (% pop. 15-64),2021,64.9,_T
Tasa de participación laboral (% pop. 15-64),2022,67.9,_T
Tasa de participación laboral (% pop. 15-64),2023,69.5,_T
Tasa de participación laboral (% pop. 15-64),2024,70.63,_T
Índice Gini (desigualdad de ingresos),2000,52.8,_T
Índice Gini (desigualdad de ingresos),2003,51.5,_T
Índice Gini (desigualdad de ingresos),2006,47.7,_T
Índice Gini (desigualdad de ingresos),2009,47.4,_T
Índice Gini (desigualdad de ingresos),2011,46.9,_T
Índice Gini (desigualdad de ingresos),2013,46.8,_T
Índice Gini (desigualdad de ingresos),2015,45.3,_T
Índice Gini (desigualdad de ingresos),2017,45.3,_T
Índice Gini (desigualdad de ingresos),2020,47.0,_T
Índice Gini (desigualdad de ingresos),2022,43.0,_T
